Authority,Botanical Name,Common Name,Council District,Epithet,Genus,Park_Side_Street,Location,Park Name,Side,Site ID,Street,Address,Air Quality Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),DBH,Energy Benefits ($),Greenhouse CO2 Benefits ($),kWh Saved,Latitude,Leaf Surface Area (in sq. ft.),Longitude,Pollutants Saved (in lbs.),Property Benefits ($),Site,Stormwater Benefits ($),Stormwater Gallons Saved,Therms Saved,Total Yearly Eco Benefits ($)
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Soldier'S Circle_Median_Soldiers Pl,"(42.9261635820068, -78.8745616264156)",Soldier'S Circle,Median,55073,Soldiers Pl,96,13.55,346.64,293.22,19,90.63,1.79,140.65,42.92616358,176.75,-78.87456163,2.22,106.35,1,17.92,2239.46,50.38,230.23
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8458895904, -78.8168338915)",Mckinley Parkway,Front,119152,Mckinley Pkwy,505,22.88,547.74,528.1,29,132.2,2.98,222.24,42.84588959,223.66,-78.81683389,3.61,134.57,1,32.87,4109.1,71.78,325.5
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Median_Chapin Pkwy,"(42.9226114710794, -78.8703318657458)",Chapin Parkway,Median,55258,Chapin Pkwy,80,12.67,354.22,263.63,16,76.57,1.79,124.05,42.92261147,161.86,-78.87033187,2.14,97.39,1,15.38,1922.91,42.04,203.8
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Bidwell Parkway_Front_Bidwell Pkwy,"(42.9247929393754, -78.8745733426024)",Bidwell Parkway,Front,46927,Bidwell Pkwy,211,13.55,346.64,293.22,19,90.63,1.79,140.65,42.92479294,176.75,-78.87457334,2.22,106.35,1,17.92,2239.46,50.38,230.23
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Front_Chapin Pkwy East,"(42.9227128601765, -78.8698836076059)",Chapin Parkway,Front,55229,Chapin Pkwy East,79,13.55,346.64,293.22,19,90.63,1.79,140.65,42.92271286,176.75,-78.86988361,2.22,106.35,1,17.92,2239.46,50.38,230.23
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.853105727696, -78.8218211422)",Mckinley Parkway,Front,94449,Mckinley Pkwy,800,20.06,485.56,450.28,26,121.37,2.41,197.01,42.85310573,209.22,-78.82182114,3.19,125.89,1,28.1,3512.01,66.6,297.83
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Median_Chapin Pkwy,"(42.9228779245319, -78.8704178088028)",Chapin Parkway,Median,55224,Chapin Pkwy,93,12.67,354.22,263.63,16,76.57,1.79,124.05,42.92287792,161.86,-78.87041781,2.14,97.39,1,15.38,1922.91,42.04,203.8
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Bidwell Parkway_Median_Bidwell Pkwy,"(42.9224220994293, -78.8783468418316)",Bidwell Parkway,Median,46985,Bidwell Pkwy,117,12.72,333.01,271.33,18,85.94,1.71,135.12,42.9224221,171.79,-78.87834684,2.1,103.36,1,16.59,2073.85,47.6,220.32
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Bidwell Parkway_Median_Bidwell Pkwy,"(42.9210519696992, -78.8807914110999)",Bidwell Parkway,Median,106252,Bidwell Pkwy,12,2.52,65.71,56.89,6,19.67,0.38,26.66,42.92105197,112.7,-78.88079141,0.43,67.81,1,3.64,455.26,11.31,94.01
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8377295305, -78.8152360855413)",Mckinley Parkway,Front,118908,Mckinley Pkwy,210,16.18,396.24,359.65,22,104.28,2.04,160.77,42.83772953,191.18,-78.81523609,2.61,115.03,1,22.07,2758.94,58.07,259.61
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8408982351, -78.8151792558)",Mckinley Parkway,Front,113874,Mckinley Pkwy,326,14.38,360.27,315.1,20,95.32,1.87,146.18,42.84089824,181.71,-78.81517926,2.34,109.33,1,19.24,2405.06,53.15,240.14
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Gates Circle_Front_Gates Cir,"(42.9202412385353, -78.868590043477)",Gates Circle,Front,55391,Gates Cir,79,11.88,319.38,249.44,17,81.25,1.63,129.59,42.92024124,166.82,-78.86859004,1.98,100.38,1,15.27,1908.25,44.82,210.41
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Soldier'S Circle_Front_Chapin Pkwy East,"(42.9251700586282, -78.8727198578022)",Soldier'S Circle,Front,55123,Chapin Pkwy East,185,13.55,346.64,293.22,19,90.63,1.79,140.65,42.92517006,176.75,-78.87271986,2.22,106.35,1,17.92,2239.46,50.38,230.23
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Front_Chapin Pkwy East,"(42.9236494128275, -78.8709622967771)",Chapin Parkway,Front,55192,Chapin Pkwy East,121,13.55,346.64,293.22,19,90.63,1.79,140.65,42.92364941,176.75,-78.8709623,2.22,106.35,1,17.92,2239.46,50.38,230.23
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Median_Chapin Pkwy,"(42.9240507396495, -78.8716522432788)",Chapin Parkway,Median,8559,Chapin Pkwy,137,12.67,354.22,263.63,16,76.57,1.79,124.05,42.92405074,161.86,-78.87165224,2.14,97.39,1,15.38,1922.91,42.04,203.8
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Soldier'S Circle_Median_Soldiers Pl,"(42.9249673977921, -78.8741468943695)",Soldier'S Circle,Median,45448,Soldiers Pl,16,16.18,396.24,359.65,22,104.28,2.04,160.77,42.9249674,191.18,-78.87414689,2.61,115.03,1,22.07,2758.94,58.07,259.61
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8452468905, -78.8163511419)",Mckinley Parkway,Front,119184,Mckinley Pkwy,476,18.12,440.9,404.97,24,112.82,2.23,178.89,42.84524689,200.2,-78.81635114,2.9,120.46,1,25.08,3135.47,62.33,278.72
Olmsted,ULMUS JAPONICA X PUMILA X WILSONIANA,"ELM, TRIUMPH",South,JAPONICA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8423008099, -78.8151553386)",Mckinley Parkway,Front,113839,Mckinley Pkwy,376,10.62,304.18,217.32,14,65.74,1.54,106.53,42.84230081,151.94,-78.81515534,1.81,91.42,1,12.72,1590.45,36.09,182.05
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Bidwell Parkway_Side_Potomac Av,"(42.9240994972897, -78.8765525139186)",Bidwell Parkway,Side,48717,Potomac Av,667,15.21,373.91,336.99,21,100.01,1.95,151.71,42.9240995,186.67,-78.87655251,2.46,112.32,1,20.57,2570.67,55.93,250.05
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8367104819, -78.8150005662)",Mckinley Parkway,Front,117246,Mckinley Pkwy,171,17.15,418.57,382.31,23,108.55,2.13,169.83,42.83671048,195.69,-78.81500057,2.75,117.75,1,23.58,2947.21,60.2,269.16
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Lincoln Parkway_Side_Rumsey Rd,"(42.9298164120516, -78.8736371942875)",Lincoln Parkway,Side,54908,Rumsey Rd,166,10.22,292.12,205.66,15,71.88,1.46,118.52,42.92981641,156.9,-78.87363719,1.74,94.41,1,12.62,1577.03,39.26,190.59
